FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_083006.100,4263096.35,335771.74,667.20,13.88,17.58,42.74,270.29,88.89,2.483,39,25,20,0.77,0.79,-0.37,,
20230719_083234.520,4263041.90,335757.28,687.21,15.82,21.02,33.05,75.69,90.34,2.499,41,35,24,0.81,0.83,-0.33,,
20230719_083622.280,4263055.29,335761.21,693.27,16.62,21.11,42.30,76.81,90.57,2.516,41,30,25,1.09,0.93,-0.14,,
20230719_083648.200,4263108.91,335675.40,631.99,11.12,11.89,30.68,88.09,89.86,2.505,51,46,69,1.06,1.12,-0.06,,
20230719_083701.100,4263053.85,335750.47,698.42,14.05,17.68,35.21,271.20,90.80,2.542,55,46,52,1.13,1.26,0.05,,
20230719_083850.320,4263114.49,335766.39,697.62,10.20,12.03,28.56,272.49,90.36,2.456,42,48,35,1.07,0.84,-0.20,,
20230719_084920.980,4262958.19,335726.74,711.42,12.86,14.24,22.13,269.74,90.01,2.550,26,12,10,0.85,0.78,-0.34,,
20230719_085832.340,4263139.06,335744.65,674.23,12.23,16.42,36.90,88.18,92.68,2.502,34,34,16,0.51,0.60,-0.60,,
20230719_090023.100,4263024.53,335630.08,646.71,12.81,13.20,26.58,272.79,89.16,2.471,39,15,18,0.49,0.57,-0.62,,
20230719_090650.840,4263176.75,335680.97,619.87,15.31,16.68,35.96,271.24,90.75,2.533,39,56,23,0.48,0.51,-0.66,,
20230719_091031.360,4263035.17,335785.74,617.14,11.58,12.74,21.13,120.07,89.97,2.459,32,57,32,1.02,0.72,-0.28,,
20230719_091100.420,4263088.40,335758.05,688.16,13.48,13.63,30.78,88.92,90.09,2.487,59,47,52,1.09,1.03,-0.09,,
20230719_091918.440,4263032.47,335748.62,701.97,11.83,12.99,27.52,271.95,89.69,2.477,33,25,24,0.73,0.86,-0.36,,
20230719_093452.880,4263096.83,335735.44,676.17,18.25,19.70,41.97,270.30,76.78,2.194,36,18,15,0.66,0.56,-0.54,,
20230719_093502.800,4263106.61,335773.92,834.33,18.58,21.21,47.11,286.01,119.42,2.457,41,66,32,1.00,0.75,-0.28,,
20230719_093708.280,4263151.73,335692.27,608.54,14.32,15.79,36.73,270.91,92.38,2.521,34,21,15,0.43,0.61,-0.63,,
20230719_094210.020,4263031.17,335701.39,697.27,14.79,18.61,26.40,271.82,89.83,2.463,30,21,12,0.53,0.80,-0.49,,
20230719_094846.140,4262962.55,335722.45,739.37,10.48,10.76,19.78,89.97,90.11,2.441,42,51,22,0.79,0.80,-0.35,,
20230719_095255.020,4262974.78,335726.45,732.39,15.80,16.23,23.71,271.37,89.14,2.482,81,73,180,1.26,1.52,0.24,,
20230719_095701.700,4263018.88,335669.76,699.68,16.15,16.31,36.36,270.70,90.31,2.545,55,53,58,1.05,1.06,-0.09,,
20230719_101049.560,4263088.86,335757.31,696.45,10.93,12.36,28.59,90.94,90.12,2.440,43,74,36,0.82,0.75,-0.37,,
20230719_101052.740,4263106.24,335765.52,696.70,13.91,15.19,43.41,269.93,89.21,2.469,45,56,24,0.70,0.69,-0.45,,
20230719_102845.060,4263096.40,335731.11,681.08,14.46,16.75,42.43,89.48,91.50,2.485,39,20,16,0.66,0.62,-0.51,,
20230719_103547.160,4263096.93,335763.60,672.88,11.93,12.97,43.90,269.57,90.06,2.494,55,46,57,1.06,1.04,-0.10,,
20230719_103618.440,4263142.47,335691.96,586.97,9.94,11.60,30.03,270.71,91.16,2.504,33,21,16,0.61,0.64,-0.52,,
20230719_104045.740,4263130.24,335686.03,607.05,12.02,12.76,25.70,89.04,90.18,2.513,49,29,34,0.87,0.85,-0.29,,
20230719_105054.260,4263140.40,335692.15,588.71,11.39,14.06,35.14,90.64,89.56,2.528,36,20,15,0.58,0.64,-0.54,,
20230719_105130.800,4263115.87,335774.15,667.11,13.25,17.07,43.79,88.72,92.15,2.503,44,47,27,0.70,0.76,-0.42,,
20230719_105433.420,4263130.86,335687.15,583.62,12.92,13.81,30.10,271.73,90.18,2.510,49,30,24,0.84,0.75,-0.35,,
20230719_105917.020,4263056.71,335747.38,677.23,9.85,13.51,38.61,272.25,88.94,2.450,37,26,21,0.81,0.80,-0.35,,
20230719_111856.500,4262954.07,335715.88,737.71,13.85,15.16,22.00,271.63,89.69,2.490,46,32,27,0.73,0.84,-0.37,,
20230719_112045.660,4263154.10,335692.84,606.59,12.39,14.96,23.95,89.99,90.02,2.531,31,17,12,0.34,0.47,-0.74,,
20230719_112244.740,4263116.06,335662.49,609.75,15.91,17.89,42.01,89.65,92.21,2.448,30,20,14,0.34,0.46,-0.75,,
20230719_113029.220,4263083.40,335653.14,612.81,14.66,17.15,39.55,80.04,92.32,2.486,30,16,14,0.40,0.55,-0.67,,
20230719_113839.760,4263006.20,335620.81,648.44,13.18,13.75,22.48,271.51,90.71,2.493,37,18,18,0.37,0.52,-0.70,,
20230719_114141.700,4263018.66,335625.21,646.25,14.86,15.41,33.18,273.15,87.98,2.527,71,29,63,0.93,0.92,-0.23,,
20230719_114459.940,4262999.29,335609.00,656.89,16.42,17.82,20.37,277.86,95.43,2.430,26,10,10,0.24,0.35,-0.86,,
20230719_114539.400,4263042.08,335712.15,691.58,13.96,19.24,33.08,273.87,89.06,2.449,32,25,15,0.36,0.56,-0.69,,
20230719_114645.440,4263102.57,335667.13,625.55,15.51,16.63,36.63,88.81,81.00,2.488,29,19,12,0.36,0.47,-0.74,,
20230719_114858.180,4263021.12,335624.71,651.41,16.23,16.93,26.60,89.06,92.65,2.445,35,15,15,0.26,0.43,-0.80,,
20230719_120910.060,4263130.53,335774.24,686.04,14.63,14.82,44.35,267.25,82.84,2.450,46,86,30,1.14,0.67,-0.25,,
20230719_121356.380,4263125.57,335778.54,661.28,13.30,16.30,36.85,270.27,90.92,2.494,38,21,15,0.66,0.71,-0.47,,
20230719_124327.820,4263103.33,335763.57,684.45,13.18,15.13,30.09,89.81,91.75,2.460,45,58,28,0.65,0.66,-0.50,,
20230719_124657.380,4262958.31,335718.17,740.97,15.25,15.79,22.14,272.17,88.71,2.444,38,21,15,0.66,0.63,-0.50,,
20230719_124910.540,4263122.27,335685.60,585.12,14.13,15.10,35.30,272.87,89.40,2.509,55,25,31,0.84,0.84,-0.31,,
20230719_125617.420,4263115.67,335680.29,608.85,12.53,12.61,24.02,270.00,90.01,2.531,60,43,59,0.99,1.02,-0.15,,
20230719_125643.720,4263133.50,335686.60,613.59,11.46,11.81,25.75,270.21,91.05,2.522,65,43,69,0.98,1.08,-0.12,,
20230719_130548.860,4262967.62,335747.28,715.29,10.98,12.27,26.31,276.70,89.76,2.491,25,21,15,0.74,0.71,-0.42,,
20230719_131651.700,4263158.68,335692.95,581.22,14.80,21.29,23.80,93.08,90.11,2.510,45,36,24,0.66,0.74,-0.45,,
20230719_131653.920,4263158.45,335692.93,581.28,14.79,21.73,33.11,54.19,89.10,0.289,31,36,23,0.64,0.73,-0.47,,
20230719_133952.740,4263151.95,335873.75,584.15,12.21,14.98,29.60,277.90,88.50,4.722,10,5,5,1.12,0.87,-0.16,,
20230719_134203.960,4263101.96,335734.61,669.04,13.18,15.05,42.54,90.17,91.20,2.507,44,41,27,0.68,0.72,-0.45,,
20230719_135423.660,4263062.30,335753.89,694.51,14.56,18.80,34.42,75.98,91.70,2.515,57,51,55,1.08,1.25,0.02,,
20230719_135957.880,4263128.59,335741.53,672.17,12.32,14.17,25.96,270.39,91.08,2.503,50,50,37,0.88,0.81,-0.30,,
20230719_140753.600,4263105.35,335767.86,671.38,14.97,17.17,43.31,88.89,91.12,2.493,41,32,17,0.61,0.58,-0.55,,
20230719_141257.260,4263140.15,335688.73,576.42,12.77,15.60,36.95,271.65,90.76,2.513,47,26,20,0.68,0.71,-0.46,,
20230719_142106.840,4263049.50,335761.91,704.80,17.44,18.42,42.92,269.59,90.64,2.491,34,19,14,0.67,0.66,-0.48,,
20230719_144729.880,4263117.98,335743.10,648.57,15.97,18.62,30.43,88.82,91.30,2.457,32,17,13,0.63,0.60,-0.54,,
20230719_145559.460,4263016.80,335756.35,712.01,19.13,19.60,41.20,268.82,89.98,2.506,35,26,18,0.73,0.64,-0.47,,
20230719_152521.700,4263125.30,335741.91,663.71,12.56,15.90,25.81,89.32,90.57,2.496,52,46,41,0.92,0.86,-0.26,,
20230719_154038.400,4263051.60,335717.05,691.16,12.06,15.47,39.55,272.85,88.99,2.521,67,51,96,1.07,1.27,0.02,,
20230719_154546.400,4263146.97,335693.32,608.98,10.11,11.84,30.38,89.72,91.31,2.532,36,27,21,0.58,0.64,-0.54,,
20230719_155048.700,4263114.04,335776.88,657.81,10.42,12.45,25.13,270.83,90.44,2.499,37,23,26,0.95,1.02,-0.16,,
20230719_155614.680,4262980.21,335668.54,652.50,14.25,17.53,22.47,263.56,97.40,2.455,28,13,11,0.57,0.52,-0.61,,
20230719_155920.240,4262964.77,335679.18,685.18,9.38,17.35,38.81,80.01,90.22,2.500,32,24,20,1.00,0.73,-0.29,,
20230719_160406.840,4263079.14,335782.21,714.64,17.90,18.82,44.72,88.21,90.57,2.520,37,23,16,0.80,0.69,-0.40,,
20230719_160545.080,4263062.71,335646.43,644.33,12.74,13.80,34.26,271.79,89.13,2.499,48,26,30,0.65,0.65,-0.50,,
20230719_160610.400,4263128.07,335683.40,581.03,13.32,16.66,43.25,270.72,88.94,2.458,39,19,13,0.61,0.63,-0.53,,
20230719_160728.180,4262990.05,335736.44,702.74,21.45,22.48,43.49,56.89,69.66,2.466,26,13,11,0.55,0.51,-0.62,,
20230719_164452.140,4263108.97,335777.97,658.02,14.10,15.13,29.42,271.70,91.15,2.514,51,28,36,0.97,1.01,-0.16,,
20230719_165322.460,4263071.05,335653.50,646.23,16.59,17.86,28.76,271.12,88.63,2.502,27,15,13,0.37,0.42,-0.76,,
20230719_165449.380,4262933.28,335645.64,705.17,13.39,19.14,29.83,79.62,93.63,2.530,41,32,40,1.09,0.95,-0.13,,
20230719_165622.080,4262945.08,335695.38,730.47,15.27,27.42,54.42,313.24,87.50,2.475,52,23,38,1.02,0.74,-0.27,,
20230719_165628.340,4262967.39,335728.92,723.57,15.52,22.55,33.91,351.85,92.84,2.450,36,16,17,0.65,0.57,-0.54,,
20230719_165933.780,4263112.92,335675.85,592.30,13.19,14.60,42.17,271.05,88.40,2.494,48,21,22,0.81,0.77,-0.36,,
20230719_170725.580,4262996.73,335737.41,713.50,15.56,16.01,27.92,271.78,90.16,2.487,78,45,85,1.11,1.43,0.12,,
20230719_172342.680,4263085.42,335764.51,669.21,16.23,18.80,41.93,270.17,87.96,2.460,37,22,17,0.61,0.69,-0.50,,
20230719_172520.440,4263163.97,335699.11,584.89,6.80,12.07,29.06,269.18,89.76,2.473,26,17,11,0.43,0.55,-0.66,,
20230719_172543.760,4263101.38,335768.47,670.13,14.85,17.55,43.24,270.01,89.25,2.495,46,34,26,0.83,0.80,-0.33,,
